id,title,genres,averageRating,numVotes,releaseYear
tt6513656,"Escape Plan 2: Hades","Action, Crime, Mystery",3.9,36151,2018
tt0365957,"You Got Served","Drama, Music",3.9,28851,2004
tt0180052,"The Adventures of Pluto Nash","Action, Comedy, Sci-Fi",3.9,27369,2002
tt1014775,"Beverly Hills Chihuahua","Adventure, Comedy, Drama",3.9,26328,2008
tt1139592,"Jeepers Creepers III",Horror,3.9,25138,2017
tt1563069,"Jersey Shore","Comedy, Reality-TV, Romance",3.9,24737,2009
tt5882970,Tubelight,"Drama, War",3.9,22079,2017
tt1656171,Dam999,"Adventure, Drama, Sci-Fi",3.9,20745,2011
tt0492389,"Furry Vengeance","Comedy, Family",3.9,18537,2010
tt7510346,"The Turning","Drama, Horror, Mystery",3.9,16598,2020
tt8066940,"Indian 2","Action, Drama, Thriller",3.9,15804,2024
tt14865406,"Deep Fear","Action, Horror, Thriller",3.9,15578,2023
tt0106761,"Double Dragon","Action, Adventure, Comedy",3.9,14121,1994
tt1712159,11-11-11,"Horror, Mystery, Thriller",3.9,12658,2011
tt1273221,"London Fields","Crime, Mystery, Thriller",3.9,12524,2018
tt0160236,"Dudley Do-Right","Comedy, Family, Romance",3.9,11523,1999
tt11771594,"American Pie Presents: Girls' Rules","Comedy, Romance",3.9,11335,2020
tt2364897,"The Disappointments Room","Drama, Horror, Thriller",3.9,10935,2016
tt1045655,"The Haunting of Molly Hartley","Drama, Horror, Thriller",3.9,10236,2008
tt6027920,"The Iron Throne","Action, Adventure, Drama",4,268282,2019
tt0938283,"The Last Airbender","Action, Adventure, Family",4,176949,2010
tt11057302,"Madame Web","Action, Adventure, Sci-Fi",4,92444,2024
tt0120179,"Speed 2: Cruise Control","Action, Adventure, Crime",4,87296,1997
tt3679040,"Kisi Ka Bhai Kisi Ki Jaan","Action, Comedy, Drama",4,41274,2023
tt0229260,"Book of Shadows: Blair Witch 2","Adventure, Fantasy, Horror",4,40715,2000
tt0479968,"One Missed Call","Horror, Mystery",4,34450,2008
tt0433412,"Material Girls","Comedy, Family, Romance",4,22869,2006
tt3062074,"Sharknado 2: The Second One","Action, Adventure, Comedy",4,20894,2014
tt10230426,"Mrs. Serial Killer","Crime, Drama, Thriller",4,19222,2020
tt2034139,"The Last Exorcism Part II","Horror, Thriller",4,17181,2013
tt8907992,"The Girl on the Train","Crime, Drama, Mystery",4,15153,2021
tt4600952,"The Guardians","Action, Adventure, Comedy",4,14763,2017
tt3899796,"Sharknado 3: Oh Hell No!","Action, Adventure, Comedy",4,14128,2015
tt14502344,They/Them,"Drama, Horror, Mystery",4,12458,2022
tt10303324,"Survive the Night","Action, Drama, Thriller",4,12102,2020
tt9625664,"Trauma Center","Action, Thriller",4,12078,2019
tt0212235,"Shriek If You Know What I Did Last Friday the Thirteenth","Comedy, Horror",4,11701,2000
tt11253090,Annaatthe,"Action, Comedy, Drama",4,10949,2021
tt8400758,"Killers Anonymous","Action, Crime, Mystery",4,10441,2019
tt13851804,Siavash,Drama,4,10326,2021
tt1190617,"An American Carol","Comedy, Fantasy",4,10171,2008
tt0312528,"The Cat in the Hat","Adventure, Comedy, Family",4.1,89530,2003
tt0111301,"Street Fighter","Action, Adventure, Comedy",4.1,76681,1994
tt0107254,"Jason Goes to Hell","Fantasy, Horror, Thriller",4.1,38149,1993
tt0329691,Torque,"Action, Comedy, Crime",4.1,29816,2004
tt1633356,"Shark Night","Action, Horror, Thriller",4.1,27460,2011
tt1679235,"Mean Girls 2","Comedy, Drama",4.1,26272,2011
tt2375779,"Wrong Turn 5: Bloodlines","Adventure, Horror",4.1,23774,2012
tt5913798,Wounds,"Drama, Horror, Mystery",4.1,22307,2019
tt5970844,"Thugs of Hindostan","Action, Adventure",4.1,22251,2018
tt1433822,"The Apparition","Horror, Thriller",4.1,20817,2012
tt0960890,"Zombie Strippers!","Comedy, Horror, Sci-Fi",4.1,19146,2008
tt3612032,"Wrong Turn 6: Last Resort","Adventure, Horror",4.1,18187,2014
tt0119718,"Mr. Magoo","Adventure, Comedy, Family",4.1,16381,1997
tt5103758,"Troy: Fall of a City","Action, Adventure, Fantasy",4.1,15732,2018
tt27785647,"Episode #1.8","Comedy, Drama, Romance",4.1,15171,2023
tt7869070,"The Fanatic","Crime, Drama, Horror",4.1,12784,2019
tt0120604,Beowulf,"Action, Adventure, Fantasy",4.1,12736,1999
tt4382872,Extraction,"Action, Thriller",4.1,12136,2015
tt8433210,"A Dark Foe","Crime, Drama, Horror",4.1,11817,2020
tt12772746,Diverged,"Drama, Horror, Thriller",4.1,11686,2021
tt0200469,Bats,"Horror, Sci-Fi, Thriller",4.1,11666,1999
tt2322441,"Fifty Shades of Grey","Drama, Romance, Thriller",4.2,341483,2015
tt12262202,"The Acolyte","Action, Adventure, Drama",4.2,125454,2024
tt0477051,Norbit,"Comedy, Romance",4.2,81411,2007
tt10280276,"Coolie No. 1","Action, Comedy, Romance",4.2,74389,2020
tt0108255,"Super Mario Bros.","Adventure, Comedy, Family",4.2,64329,1993
tt0107978,"RoboCop 3","Action, Crime, Sci-Fi",4.2,55484,1993
tt0141369,"Inspector Gadget","Action, Adventure, Comedy",4.2,51663,1999
tt0102034,"Highlander II: The Quickening","Action, Adventure, Fantasy",4.2,48685,1991
tt9660182,"Resident Evil","Action, Horror, Sci-Fi",4.2,46974,2022
tt1560985,"The Devil Inside",Horror,4.2,37888,2012
tt0357507,Boogeyman,"Drama, Horror, Mystery",4.2,32994,2005
tt0176269,"Universal Soldier: The Return","Action, Sci-Fi",4.2,31157,1999
tt3120430,Mantus,"Comedy, Drama, Thriller",4.2,28726,2014
tt10062556,"Bhuj: The Pride of India","Action, Drama, History",4.2,25034,2021
